Country,ISO_A3,Region,IncomeGroup,Year,Emissions
Aruba,ABW,Latin America & Caribbean,High income,1970,42.3062976
Afghanistan,AFG,South Asia,Low income,1970,14306.6163
Angola,AGO,Sub-Saharan Africa,Upper middle income,1970,60648.60108
Albania,ALB,Europe & Central Asia,Upper middle income,1970,6960.8682
Andorra,AND,Europe & Central Asia,High income,1970,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,1970,32962.18941
Argentina,ARG,Latin America & Caribbean,Upper middle income,1970,221957.023
Armenia,ARM,Europe & Central Asia,Lower middle income,1970,6245.9877
American Samoa,ASM,East Asia & Pacific,Upper middle income,1970,13.0733582
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1970,NA
Australia,AUS,East Asia & Pacific,High income,1970,319036.599
Austria,AUT,Europe & Central Asia,High income,1970,68415.153
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1970,26322.7798
Burundi,BDI,Sub-Saharan Africa,Low income,1970,2203.1094
Belgium,BEL,Europe & Central Asia,High income,1970,159837.736
Benin,BEN,Sub-Saharan Africa,Low income,1970,35206.06
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1970,7373.7537
Bangladesh,BGD,South Asia,Lower middle income,1970,112709.296
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1970,88037.706
Bahrain,BHR,Middle East & North Africa,High income,1970,3808.819296
"Bahamas, The",BHS,Latin America & Caribbean,High income,1970,3564.4186
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1970,23292.685700000002
Belarus,BLR,Europe & Central Asia,Upper middle income,1970,137111.879
Belize,BLZ,Latin America & Caribbean,Upper middle income,1970,312.98067
Bermuda,BMU,North America,High income,1970,349.390182
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1970,172962.285
Brazil,BRA,Latin America & Caribbean,Upper middle income,1970,1260982.146
Barbados,BRB,Latin America & Caribbean,High income,1970,709.79228
Brunei Darussalam,BRN,East Asia & Pacific,High income,1970,11477.21
Bhutan,BTN,South Asia,Lower middle income,1970,862.6929
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1970,11350.009
Central African Republic,CAF,Sub-Saharan Africa,Low income,1970,106092.417666667
Canada,CAN,North America,High income,1970,494973.635
Switzerland,CHE,Europe & Central Asia,High income,1970,50087.6589
Channel Islands,CHI,Europe & Central Asia,High income,1970,NA
Chile,CHL,Latin America & Caribbean,High income,1970,42181.676
China,CHN,East Asia & Pacific,Upper middle income,1970,1873971.6754
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1970,116579.635
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1970,65737.639
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1970,1550424.37
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1970,68611.831
Colombia,COL,Latin America & Caribbean,Upper middle income,1970,128348.959
Comoros,COM,Sub-Saharan Africa,Low income,1970,203.41403
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1970,193.02136
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1970,5198.3474
Cuba,CUB,Latin America & Caribbean,Upper middle income,1970,42413.992
Curacao,CUW,Latin America & Caribbean,High income,1970,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,1970,73.9447863
Cyprus,CYP,Europe & Central Asia,High income,1970,2760.50659
Czech Republic,CZE,Europe & Central Asia,High income,1970,212540.429
Germany,DEU,Europe & Central Asia,High income,1970,1286569.85
Djibouti,DJI,Middle East & North Africa,Lower middle income,1970,1048.39544
Dominica,DMA,Latin America & Caribbean,Upper middle income,1970,51.033044
Denmark,DNK,Europe & Central Asia,High income,1970,78803.65
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1970,8865.8224
Algeria,DZA,Middle East & North Africa,Upper middle income,1970,34603.8245
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1970,13651.5739
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1970,56857.501
Eritrea,ERI,Sub-Saharan Africa,Low income,1970,2915.0338
Spain,ESP,Europe & Central Asia,High income,1970,173364.362
Estonia,EST,Europe & Central Asia,High income,1970,64921.3432
Ethiopia,ETH,Sub-Saharan Africa,Low income,1970,54446.07
Finland,FIN,Europe & Central Asia,High income,1970,58988.57
Fiji,FJI,East Asia & Pacific,Upper middle income,1970,1144.09413
France,FRA,Europe & Central Asia,High income,1970,614501.57
Faroe Islands,FRO,Europe & Central Asia,High income,1970,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1970,22.128257
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1970,6244.1816
United Kingdom,GBR,Europe & Central Asia,High income,1970,839587.41
Georgia,GEO,Europe & Central Asia,Upper middle income,1970,49641.595
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1970,21483.251
Gibraltar,GIB,Europe & Central Asia,High income,1970,75.0005781
Guinea,GIN,Sub-Saharan Africa,Low income,1970,49112.868
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1970,806.07587
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1970,915.5468
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1970,120.086456
Greece,GRC,Europe & Central Asia,High income,1970,38651.134
Grenada,GRD,Latin America & Caribbean,Upper middle income,1970,61.630936
